# Android SDK 34 - @RequiresPermission Annotations
# Total methods: 2085
# Format: class_name | method_name | permissions

android.accessibilityservice.AccessibilityService|dispatchGesture|android.permission.USE_FINGERPRINT
android.os.CheckedUserOperationException|isUserEphemeral|android.permission.MANAGE_USERS, android.permission.QUERY_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserNameSet|android.permission.QUERY_USERS, android.permission.GET_ACCOUNTS_PRIVILEGED, android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserOfType|android.permission.MANAGE_USERS, android.permission.QUERY_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserRunning|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserRunning|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserRunningOrStopping|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserSwitcherEnabled|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserSwitcherEnabled|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserTypeEnabled|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|isUserUnlocked|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserUnlocked|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserUnlockingOrUnlocked|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserUnlockingOrUnlocked|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|isUserVisible|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.os.CheckedUserOperationException|markGuestForDeletion|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|recompute|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|removeUser|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|removeUser|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|removeUserEvenWhenDisallowed|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|requestQuietModeEnabled|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS, android.permission.MODIFY_QUIET_MODE
android.os.CheckedUserOperationException|requestQuietModeEnabled|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|revokeUserAdmin|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS_FULL
android.os.CheckedUserOperationException|setBootUser|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|setDefaultGuestRestrictions|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setSeedAccountData|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserAccount|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS_FULL
android.os.CheckedUserOperationException|setUserAdmin|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS_FULL
android.os.CheckedUserOperationException|setUserEnabled|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserEphemeral|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|setUserIcon|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserIcon|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserName|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserName|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserRestriction|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|setUserRestriction|android.permission.MANAGE_USERS
android.os.CheckedUserOperationException|someUserHasAccount|android.permission.MANAGE_USERS, android.permission.CREATE_USERS
android.os.CheckedUserOperationException|someUserHasSeedAccount|android.permission.MANAGE_USERS
android.os.DeviceIdleManager|endIdle|android.permission.DEVICE_POWER
android.os.DumpCallback|approveReport|android.permission.APPROVE_INCIDENT_REPORTS
android.os.DumpCallback|cancelAuthorization|android.permission.REQUEST_INCIDENT_REPORT_APPROVAL
android.os.DumpCallback|deleteIncidentReports|android.permission.PACKAGE_USAGE_STATS, android.permission.DUMP
android.os.DumpCallback|denyReport|android.permission.APPROVE_INCIDENT_REPORTS
android.os.DumpCallback|getPendingReports|android.permission.APPROVE_INCIDENT_REPORTS
android.os.DumpCallback|reportIncident|android.permission.PACKAGE_USAGE_STATS, android.permission.DUMP
android.os.DumpCallback|requestAuthorization|android.permission.REQUEST_INCIDENT_REPORT_APPROVAL
android.os.DumpCallback|requestAuthorization|android.permission.REQUEST_INCIDENT_REPORT_APPROVAL
android.os.LowPowerStandbyPortsLock|acquire|android.permission.SET_LOW_POWER_STANDBY_PORTS
android.os.LowPowerStandbyPortsLock|release|android.permission.SET_LOW_POWER_STANDBY_PORTS
android.os.PowerExemptionManager|addToPermanentAllowList|android.permission.DEVICE_POWER
android.os.PowerExemptionManager|addToPermanentAllowList|android.permission.DEVICE_POWER
android.os.PowerExemptionManager|addToTemporaryAllowList|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.PowerExemptionManager|addToTemporaryAllowListForEvent|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.PowerExemptionManager|getAllowListedAppIds|android.permission.DEVICE_POWER
android.os.PowerExemptionManager|removeFromPermanentAllowList|android.permission.DEVICE_POWER
android.os.PowerManager|userActivityEventToString|android.permission.TURN_SCREEN_ON, android.permission.DEVICE_POWER
android.os.PowerWhitelistManager|addToWhitelist|android.permission.DEVICE_POWER
android.os.PowerWhitelistManager|addToWhitelist|android.permission.DEVICE_POWER
android.os.PowerWhitelistManager|removeFromWhitelist|android.permission.DEVICE_POWER
android.os.PowerWhitelistManager|whitelistAppTemporarily|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.PowerWhitelistManager|whitelistAppTemporarily|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.PowerWhitelistManager|whitelistAppTemporarilyForEvent|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.PowerWhitelistManager|whitelistAppTemporarilyForEvent|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.os.RecoverySystem|cancelScheduledUpdate|android.permission.RECOVERY
android.os.RecoverySystem|clearPrepareForUnattendedUpdate|android.permission.RECOVERY, android.permission.REBOOT
android.os.RecoverySystem|installPackage|android.permission.RECOVERY
android.os.RecoverySystem|installPackage|android.permission.RECOVERY
android.os.RecoverySystem|isPreparedForUnattendedUpdate|android.permission.RECOVERY, android.permission.REBOOT
android.os.RecoverySystem|prepareForUnattendedUpdate|android.permission.RECOVERY, android.permission.REBOOT
android.os.RecoverySystem|processPackage|android.permission.RECOVERY
android.os.RecoverySystem|processPackage|android.permission.RECOVERY
android.os.RecoverySystem|rebootAndApply|android.permission.RECOVERY
android.os.RecoverySystem|rebootWipeAb|android.permission.RECOVERY, android.permission.REBOOT
android.os.RecoverySystem|scheduleUpdateOnBoot|android.permission.RECOVERY, android.permission.REBOOT
android.os.SystemConfigManager|getDefaultVrComponents|android.permission.QUERY_ALL_PACKAGES
android.os.SystemConfigManager|getSystemPermissionUids|android.permission.GET_RUNTIME_PERMISSIONS, android.permission.READ_CARRIER_APP_INFO
android.os.SystemUpdateManager|retrieveSystemUpdateInfo|android.permission.RECOVERY, android.permission.READ_SYSTEM_UPDATE_INFO
android.os.SystemUpdateManager|updateSystemUpdateInfo|android.permission.RECOVERY
android.os.UserManager|from|android.permission.MANAGE_USERS
android.os.Vibrator|addVibratorStateListener|android.permission.ACCESS_VIBRATOR_STATE
android.os.Vibrator|addVibratorStateListener|android.permission.ACCESS_VIBRATOR_STATE
android.os.Vibrator|cancel|android.permission.VIBRATE
android.os.Vibrator|cancel|android.permission.VIBRATE
android.os.Vibrator|isVibrating|android.permission.ACCESS_VIBRATOR_STATE
android.os.Vibrator|removeVibratorStateListener|android.permission.ACCESS_VIBRATOR_STATE
android.os.Vibrator|setAlwaysOnEffect|android.permission.VIBRATE_ALWAYS_ON
android.os.Vibrator|setAlwaysOnEffect|android.permission.VIBRATE_ALWAYS_ON
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.Vibrator|vibrate|android.permission.VIBRATE
android.os.VibratorManager|cancel|android.permission.VIBRATE
android.os.VibratorManager|cancel|android.permission.VIBRATE
android.os.VibratorManager|setAlwaysOnEffect|android.permission.VIBRATE_ALWAYS_ON
android.os.VibratorManager|vibrate|android.permission.VIBRATE
android.os.VibratorManager|vibrate|android.permission.VIBRATE
android.os.VibratorManager|vibrate|android.permission.VIBRATE
android.os.image.DynSystemServiceConnection|bind|android.permission.INSTALL_DYNAMIC_SYSTEM
android.os.image.DynSystemServiceConnection|start|android.permission.INSTALL_DYNAMIC_SYSTEM
android.os.image.DynSystemServiceConnection|start|android.permission.INSTALL_DYNAMIC_SYSTEM
android.os.image.DynSystemServiceConnection|unbind|android.permission.INSTALL_DYNAMIC_SYSTEM
android.os.image.Session|abort|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|closePartition|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|commit|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|finishInstallation|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|getAvbPublicKey|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|getInstallationProgress|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|isEnabled|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|isInUse|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|isInstalled|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|remove|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|setAshmem|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|setEnable|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|startInstallation|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|submitFromAshmem|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.image.Session|suggestScratchSize|android.permission.MANAGE_DYNAMIC_SYSTEM
android.os.is|getSerial|android.permission.READ_PRIVILEGED_PHONE_STATE
android.os.name|dream|android.permission.READ_DREAM_STATE, android.permission.WRITE_DREAM_STATE
android.os.name|forceLowPowerStandbyActive|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|forceSuspend|android.permission.DEVICE_POWER
android.os.name|getActiveLowPowerStandbyPorts|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|getLowPowerStandbyPolicy|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|goToSleep|android.permission.DEVICE_POWER
android.os.name|isAmbientDisplayAvailable|android.permission.READ_DREAM_STATE
android.os.name|isAmbientDisplaySuppressed|android.permission.READ_DREAM_STATE
android.os.name|isAmbientDisplaySuppressedForToken|android.permission.READ_DREAM_STATE
android.os.name|isAmbientDisplaySuppressedForTokenByApp|android.permission.READ_DREAM_STATE, android.permission.READ_DREAM_SUPPRESSION
android.os.name|isLowPowerStandbySupported|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|lowPowerStandbyAllowedReasonsToString|android.permission.MANAGE_LOW_POWER_STANDBY
android.os.name|newLowPowerStandbyPortsLock|android.permission.SET_LOW_POWER_STANDBY_PORTS
android.os.name|setAdaptivePowerSaveEnabled|android.permission.POWER_SAVER, android.permission.DEVICE_POWER
android.os.name|setAdaptivePowerSavePolicy|android.permission.POWER_SAVER, android.permission.DEVICE_POWER
android.os.name|setBatteryDischargePrediction|android.permission.BATTERY_PREDICTION, android.permission.DEVICE_POWER
android.os.name|setFullPowerSavePolicy|android.permission.POWER_SAVER, android.permission.DEVICE_POWER
android.os.name|setLowPowerStandbyActiveDuringMaintenance|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|setLowPowerStandbyEnabled|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|setLowPowerStandbyPolicy|android.permission.MANAGE_LOW_POWER_STANDBY, android.permission.DEVICE_POWER
android.os.name|setPowerSaveModeEnabled|android.permission.POWER_SAVER, android.permission.DEVICE_POWER
android.os.name|suppressAmbientDisplay|android.permission.WRITE_DREAM_STATE
android.os.name|userActivity|android.permission.USER_ACTIVITY, android.permission.DEVICE_POWER
android.os.or|resetBattery|android.permission.DEVICE_POWER
android.os.or|setBatteryLevel|android.permission.DEVICE_POWER
android.os.or|setChargerAcOnline|android.permission.DEVICE_POWER
android.os.or|suspendBatteryInput|android.permission.DEVICE_POWER
android.os.or|unplugBattery|android.permission.DEVICE_POWER
android.os.storage.StorageManager|onUsbMassStorageConnectionChanged|android.permission.MANAGE_EXTERNAL_STORAGE
android.os.storage.StorageVolumeCallback|getAllocatableBytes|android.permission.ALLOCATE_AGGRESSIVE
android.os.storage.StorageVolumeCallback|getExternalStorageMountMode|android.permission.WRITE_MEDIA_STORAGE
android.os.storage.StorageVolumeCallback|getManageSpaceActivityIntent|android.permission.MANAGE_EXTERNAL_STORAGE
android.os.storage.StorageVolumeCallback|getPrimaryStoragePathAndSize|android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.LegacyPermissionManager|grantDefaultPermissionsToEnabledCarrierApps|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.LegacyPermissionManager|grantDefaultPermissionsToEnabledImsServices|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.LegacyPermissionManager|grantDefaultPermissionsToEnabledTelephonyDataServices|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.LegacyPermissionManager|grantDefaultPermissionsToLuiApp|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.LegacyPermissionManager|revokeDefaultPermissionsFromDisabledTelephonyDataServices|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.LegacyPermissionManager|revokeDefaultPermissionsFromLuiApps|android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS
android.permission.OnRevokeRuntimePermissionsCallback|applyStagedRuntimePermissionBackup|android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.RESTORE_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|countPermissionApps|android.permission.GET_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|getAppPermissions|android.permission.GET_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|getHibernationEligibility|android.permission.MANAGE_APP_HIBERNATION
android.permission.OnRevokeRuntimePermissionsCallback|getPermissionUsages|android.permission.GET_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|getPrivilegesDescriptionStringForProfile|android.permission.MANAGE_COMPANION_DEVICES
android.permission.OnRevokeRuntimePermissionsCallback|getRuntimePermissionBackup|android.permission.GET_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|grantOrUpgradeDefaultRuntimePermissions|android.permission.ADJUST_RUNTIME_PERMISSIONS_POLICY
android.permission.OnRevokeRuntimePermissionsCallback|notifyOneTimePermissionSessionTimeout|android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|revokeRuntimePermission|android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|revokeRuntimePermissions|android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|setRuntimePermissionGrantStateByDeviceAdmin|android.permission.ADJUST_RUNTIME_PERMISSIONS_POLICY, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.OnRevokeRuntimePermissionsCallback|stageAndApplyRuntimePermissionsBackup|android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.RESTORE_RUNTIME_PERMISSIONS
android.permission.PermissionControllerService|getPrivilegesDescriptionStringForProfile|android.permission.MANAGE_COMPANION_DEVICES
android.permission.PermissionControllerService|onGetHibernationEligibility|android.permission.MANAGE_APP_HIBERNATION
android.permission.PermissionControllerService|onGetUnusedAppCount|android.permission.MANAGE_APP_HIBERNATION
android.permission.PermissionManager|addAllowlistedRestrictedPermission|android.permission.WHITELIST_RESTRICTED_PERMISSIONS
android.permission.PermissionManager|addOnPermissionsChangeListener|android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS
android.permission.PermissionManager|checkPermissionForDataDelivery|android.permission.START_REVIEW_PERMISSION_DECISIONS, android.permission.UPDATE_APP_OPS_STATS
android.permission.PermissionManager|checkPermissionForDataDeliveryFromDataSource|android.permission.UPDATE_APP_OPS_STATS
android.permission.PermissionManager|checkPermissionForStartDataDelivery|android.permission.UPDATE_APP_OPS_STATS
android.permission.PermissionManager|getAllowlistedRestrictedPermissions|android.permission.WHITELIST_RESTRICTED_PERMISSIONS
android.permission.PermissionManager|getAutoRevokeExemptionGrantedPackages|android.permission.ADJUST_RUNTIME_PERMISSIONS_POLICY
android.permission.PermissionManager|getAutoRevokeExemptionRequestedPackages|android.permission.ADJUST_RUNTIME_PERMISSIONS_POLICY
android.permission.PermissionManager|getIndicatorAppOpUsageData|android.permission.GET_APP_OPS_STATS
android.permission.PermissionManager|getIndicatorAppOpUsageData|android.permission.GET_APP_OPS_STATS
android.permission.PermissionManager|getPermissionFlags|android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.GET_RUNTIME_PERMISSIONS
android.permission.PermissionManager|grantRuntimePermission|android.permission.GRANT_RUNTIME_PERMISSIONS
android.permission.PermissionManager|isAutoRevokeExempted|android.permission.WHITELIST_AUTO_REVOKE_PERMISSIONS
android.permission.PermissionManager|removeAllowlistedRestrictedPermission|android.permission.WHITELIST_RESTRICTED_PERMISSIONS
android.permission.PermissionManager|removeOnPermissionsChangeListener|android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS
android.permission.PermissionManager|revokeRuntimePermission|android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.PermissionManager|setAutoRevokeExempted|android.permission.WHITELIST_AUTO_REVOKE_PERMISSIONS
android.permission.PermissionManager|setRuntimePermissionsVersion|android.permission.ADJUST_RUNTIME_PERMISSIONS_POLICY, android.permission.UPGRADE_RUNTIME_PERMISSIONS
android.permission.PermissionManager|updatePermissionFlags|android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.SplitPermissionInfo|revokePostNotificationPermissionWithoutKillForTest|android.permission.REVOKE_POST_NOTIFICATIONS_WITHOUT_KILL
android.permission.SplitPermissionInfo|startOneTimePermissionSession|android.permission.MANAGE_ONE_TIME_PERMISSION_SESSIONS
android.permission.SplitPermissionInfo|startOneTimePermissionSession|android.permission.MANAGE_ONE_TIME_PERMISSION_SESSIONS
android.permission.SplitPermissionInfo|stopOneTimePermissionSession|android.permission.MANAGE_ONE_TIME_PERMISSION_SESSIONS
android.preference.SeekBarVolumizer|hasAudioProductStrategies|android.permission.READ_DEVICE_CONFIG
android.print.PrintManager|addPrintServiceRecommendationsChangeListener|android.permission.READ_PRINT_SERVICE_RECOMMENDATIONS, android.permission.READ_PRINT_SERVICES
android.print.PrintManager|addPrintServicesChangeListener|android.permission.READ_PRINT_SERVICES
android.print.PrintManager|createPrinterDiscoverySession|android.permission.READ_PRINT_SERVICE_RECOMMENDATIONS
android.print.PrintManager|removePrintServiceRecommendationsChangeListener|android.permission.READ_PRINT_SERVICE_RECOMMENDATIONS
android.print.PrintManager|removePrintServicesChangeListener|android.permission.READ_PRINT_SERVICES
android.provider.CallComposerLoggingException|storeCallComposerPicture|android.permission.INTERACT_ACROSS_USERS, android.permission.WRITE_CALL_LOG
android.provider.CellBroadcasts|getUriForSubscriptionIdAndField|android.permission.READ_CELL_BROADCASTS
android.provider.System|putString|android.permission.MODIFY_SETTINGS_OVERRIDEABLE_BY_RESTORE
android.provider.cannot|getPresenceIconResourceId|android.permission.INTERACT_ACROSS_USERS
android.provider.cannot|setDefaultAccount|android.permission.SET_DEFAULT_ACCOUNT_FOR_CONTACTS
android.provider.name|getCloneToManagedProfileSettings|android.permission.WRITE_SECURE_SETTINGS
android.provider.object|clearMonitorCallback|android.permission.MONITOR_DEVICE_CONFIG_ACCESS
android.provider.object|deleteString|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|getString|android.permission.READ_DEVICE_CONFIG
android.provider.object|getStrings|android.permission.READ_DEVICE_CONFIG
android.provider.object|getStrings|android.permission.READ_DEVICE_CONFIG
android.provider.object|getSyncDisabledMode|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|putString|android.permission.MODIFY_SETTINGS_OVERRIDEABLE_BY_RESTORE
android.provider.object|putString|android.permission.WRITE_SECURE_SETTINGS
android.provider.object|putString|android.permission.MODIFY_SETTINGS_OVERRIDEABLE_BY_RESTORE
android.provider.object|putString|android.permission.WRITE_SECURE_SETTINGS
android.provider.object|putString|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|resetToDefaults|android.permission.WRITE_SECURE_SETTINGS
android.provider.object|resetToDefaults|android.permission.WRITE_SECURE_SETTINGS
android.provider.object|resetToDefaults|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|setMonitorCallback|android.permission.MONITOR_DEVICE_CONFIG_ACCESS
android.provider.object|setStrings|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|setStrings|android.permission.WRITE_DEVICE_CONFIG
android.provider.object|setSyncDisabledMode|android.permission.WRITE_DEVICE_CONFIG
android.se.omapi.Reader|reset|android.permission.SECURE_ELEMENT_PRIVILEGED_OPERATION
android.security.FileIntegrityManager|isAppSourceCertificateTrusted|android.permission.INSTALL_PACKAGES, android.permission.REQUEST_INSTALL_PACKAGES
android.security.KeyChain|removeCredentialManagementApp|android.permission.MANAGE_CREDENTIAL_MANAGEMENT_APP
android.security.KeyChain|setCredentialManagementApp|android.permission.MANAGE_CREDENTIAL_MANAGEMENT_APP
android.security.attestationverification.with|verifyAttestation|android.permission.USE_ATTESTATION_VERIFICATION_SERVICE
android.security.attestationverification.with|verifyToken|android.permission.USE_ATTESTATION_VERIFICATION_SERVICE
android.security.keystore.AttestationUtils|attestDeviceIds|android.permission.READ_PRIVILEGED_PHONE_STATE
android.security.keystore.recovery.RecoveryController|getInstance|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|getRecoveryStatus|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|initRecoveryService|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|isRecoverableKeyStoreEnabled|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|removeKey|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|setRecoverySecretTypes|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|setRecoveryStatus|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|setServerParams|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoveryController|setSnapshotCreatedPendingIntent|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoverySession|close|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoverySession|recoverKeyChainSnapshot|android.permission.RECOVER_KEYSTORE
android.security.keystore.recovery.RecoverySession|start|android.permission.RECOVER_KEYSTORE
android.service.dataloader.FileSystemConnector|writeData|android.permission.INSTALL_PACKAGES
android.service.euicc.EuiccService|encodeSmdxSubjectAndReasonCode|android.permission.BIND_EUICC_SERVICE
android.service.games.GameService|createGameSession|android.permission.MANAGE_GAME_ACTIVITY
android.service.games.GameSession|restartGame|android.permission.MANAGE_GAME_ACTIVITY
android.service.games.GameSessionRootView|startActivityFromGameSessionForResult|android.permission.MANAGE_GAME_ACTIVITY
android.service.games.GameSessionRootView|takeScreenshot|android.permission.MANAGE_GAME_ACTIVITY
android.service.oemlock.OemLockManager|getLockName|android.permission.MANAGE_CARRIER_OEM_UNLOCK_STATE
android.service.oemlock.OemLockManager|isOemUnlockAllowedByCarrier|android.permission.MANAGE_CARRIER_OEM_UNLOCK_STATE
android.service.oemlock.OemLockManager|isOemUnlockAllowedByUser|android.permission.MANAGE_USER_OEM_UNLOCK_STATE
android.service.oemlock.OemLockManager|setOemUnlockAllowedByCarrier|android.permission.MANAGE_CARRIER_OEM_UNLOCK_STATE
android.service.oemlock.OemLockManager|setOemUnlockAllowedByUser|android.permission.MANAGE_USER_OEM_UNLOCK_STATE
android.service.persistentdata.PersistentDataBlockManager|getDataBlockSize|android.permission.ACCESS_PDB_STATE
android.service.persistentdata.PersistentDataBlockManager|getFlashLockState|android.permission.OEM_UNLOCK_STATE, android.permission.READ_OEM_UNLOCK_STATE
android.service.persistentdata.PersistentDataBlockManager|getOemUnlockEnabled|android.permission.OEM_UNLOCK_STATE, android.permission.READ_OEM_UNLOCK_STATE
android.service.persistentdata.PersistentDataBlockManager|getPersistentDataPackageName|android.permission.ACCESS_PDB_STATE
android.service.persistentdata.PersistentDataBlockManager|setOemUnlockEnabled|android.permission.OEM_UNLOCK_STATE
android.service.persistentdata.PersistentDataBlockManager|wipe|android.permission.OEM_UNLOCK_STATE
android.service.voice.VoiceInteractionService|createAlwaysOnHotwordDetector|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createAlwaysOnHotwordDetector|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createAlwaysOnHotwordDetectorForTest|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createAlwaysOnHotwordDetectorForTest|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createHotwordDetector|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createHotwordDetector|android.permission.MANAGE_HOTWORD_DETECTION
android.service.voice.VoiceInteractionService|createKeyphraseModelManager|android.permission.MANAGE_VOICE_KEYPHRASES
android.service.voice.VoiceInteractionService|createVisualQueryDetector|android.permission.MANAGE_HOTWORD_DETECTION
android.speech.SpeechRecognizer|setTemporaryOnDeviceRecognizer|android.permission.MANAGE_SPEECH_RECOGNITION
android.telecom.Builder|build|android.permission.CAPTURE_AUDIO_OUTPUT
android.telecom.CallFilteringCompletionInfo|onCallFilteringCompleted|android.permission.READ_CONTACTS
android.telecom.Callback|onCallFilteringCompleted|android.permission.READ_CONTACTS
android.telecom.ConnectionService|onConference|android.permission.MODIFY_PHONE_STATE
android.telecom.MyVoipCall|addCall|android.permission.MANAGE_OWN_CALLS
